id,sketch,tool_options,ble_link_state,run1_avg_mA,run2_avg_mA,run3_avg_mA,avg_mean_mA,p95_mean_mA,peak_mean_mA,notes
P1,LowPowerIdleWfi,"fixed low-power WFI defaults; BLE support off",N/A,TBD,TBD,TBD,TBD,TBD,TBD,Baseline idle
P2,LowPowerPrepareIdleBudget,"fixed low-power WFI defaults; BLE support off",N/A,TBD,TBD,TBD,TBD,TBD,TBD,Board-load collapse helper
P3,LowPowerCpuFrequencyControl,"fixed low-power WFI defaults; BLE support off",N/A,TBD,TBD,TBD,TBD,TBD,TBD,Manual 128 MHz work burst then 64 MHz idle
P4,LowPowerBleBeaconDutyCycle,"fixed low-power WFI defaults; BLE support on",Advertising,TBD,TBD,TBD,TBD,TBD,TBD,BLE burst mode
P5,BleConnectionPeripheral,"fixed low-power WFI defaults; BLE support on",Connected,TBD,TBD,TBD,TBD,TBD,TBD,Connection idle profile
P6,conncurrent_zephyr_equiv_peripheral,"fixed low-power WFI defaults; BLE support on",Connected,TBD,TBD,TBD,TBD,TBD,TBD,Zephyr-parity peripheral comparison
P7,conncurrent_zephyr_equiv_central,"fixed low-power WFI defaults; BLE support on",Connected,TBD,TBD,TBD,TBD,TBD,TBD,Zephyr-parity central comparison
